_tid_,timestamp,value,seasonal,trend,resid,thr1,thr2
3199,3199.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3200,3200.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3201,3201.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3202,3202.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3203,3203.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3204,3204.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3205,3205.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3206,3206.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3207,3207.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3208,3208.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3209,3209.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3210,3210.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3211,3211.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3212,3212.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3213,3213.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3214,3214.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3215,3215.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3216,3216.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3217,3217.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3218,3218.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3219,3219.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3220,3220.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3221,3221.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3222,3222.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3223,3223.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3224,3224.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3225,3225.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3226,3226.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3227,3227.0,0.0,-0.14,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3228,3228.0,0.0,-0.13,0.16,-0.03,-0.2616495891895856,0.2270711099211401
3229,3229.0,0.01,-0.13,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3230,3230.0,0.01,-0.13,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3231,3231.0,0.01,-0.13,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3232,3232.0,0.01,-0.13,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3233,3233.0,0.01,-0.12,0.16,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3234,3234.0,0.01,-0.12,0.16,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3235,3235.0,0.02,-0.12,0.16,-0.02,-0.2616495891895856,0.2270711099211401
3236,3236.0,0.02,-0.11,0.16,-0.03,-0.2616495891895856,0.2270711099211401
3237,3237.0,0.02,-0.1099999999999999,0.16,-0.03,-0.2616495891895856,0.2270711099211401
3238,3238.0,0.03,-0.1,0.16,-0.03,-0.2616495891895856,0.2270711099211401
3239,3239.0,0.03,-0.09,0.16,-0.04,-0.2616495891895856,0.2270711099211401
3240,3240.0,0.04,-0.0799999999999999,0.16,-0.04,-0.2616495891895856,0.2270711099211401
3241,3241.0,0.04,-0.07,0.16,-0.0499999999999999,-0.2616495891895856,0.2270711099211401
3242,3242.0,0.05,-0.06,0.16,-0.05,-0.2616495891895856,0.2270711099211401
3243,3243.0,0.06,-0.0499999999999999,0.16,-0.05,-0.2616495891895856,0.2270711099211401
3244,3244.0,0.06,-0.03,0.16,-0.07,-0.2616495891895856,0.2270711099211401
3245,3245.0,0.08,-0.0099999999999999,0.16,-0.07,-0.2616495891895856,0.2270711099211401
3246,3246.0,0.09,0.01,0.16,-0.08,-0.2616495891895856,0.2270711099211401
3247,3247.0,0.09,0.0399999999999999,0.16,-0.1099999999999999,-0.2616495891895856,0.2270711099211401
3248,3248.0,0.1,0.06,0.16,-0.12,-0.2616495891895856,0.2270711099211401
3249,3249.0,0.11,0.09,0.16,-0.14,-0.2616495891895856,0.2270711099211401
3250,3250.0,0.12,0.12,0.16,-0.16,-0.2616495891895856,0.2270711099211401
3251,3251.0,0.13,0.1599999999999999,0.16,-0.1899999999999999,-0.2616495891895856,0.2270711099211401
3252,3252.0,0.15,0.2,0.16,-0.21,-0.2616495891895856,0.2270711099211401
3253,3253.0,0.16,0.24,0.16,-0.24,-0.2616495891895856,0.2270711099211401
3254,3254.0,0.18,0.2799999999999999,0.16,-0.26,-0.2616495891895856,0.2270711099211401
3255,3255.0,0.19,0.3199999999999999,0.16,0.0149999999999999,-0.2616495891895856,0.2270711099211401
3256,3256.0,0.2,0.365,0.16,0.0049999999999999,-0.2616495891895856,0.2270711099211401
3257,3257.0,0.21,0.41,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3258,3258.0,0.22,0.4649999999999999,0.16,0.0,-0.2616495891895856,0.2270711099211401
3259,3259.0,0.23,0.51,0.16,-0.31,-0.2616495891895856,0.2270711099211401
3260,3260.0,0.24,0.5499999999999999,0.16,-0.0749999999999999,-0.2616495891895856,0.2270711099211401
3261,3261.0,0.24,0.575,0.16,-0.505,-0.2616495891895856,0.2270711099211401
3262,3262.0,0.25,0.595,0.16,-0.00375,-0.2616495891895856,0.2270711099211401
3263,3263.0,0.25,0.615,0.16,-0.14,-0.2616495891895856,0.2270711099211401
3264,3264.0,0.26,0.6174999999999999,0.16,0.0149999999999999,-0.2616495891895856,0.2270711099211401
3265,3265.0,0.27,0.625,0.16,-0.0249999999999999,-0.2616495891895856,0.2270711099211401
3266,3266.0,0.27,0.63,0.16,-0.0049999999999999,-0.2616495891895856,0.2270711099211401
3267,3267.0,0.28,0.6,0.16,0.135,-0.2616495891895856,0.2270711099211401
3268,3268.0,0.26,0.5549999999999999,0.16,-0.19,-0.2616495891895856,0.2270711099211401
3269,3269.0,0.26,0.495,0.16,0.07,-0.2616495891895856,0.2270711099211401
3270,3270.0,0.26,0.4574999999999999,0.16,-0.02,-0.2616495891895856,0.2270711099211401
3271,3271.0,0.26,0.43,0.16,0.0025,-0.2616495891895856,0.2270711099211401
3272,3272.0,0.26,0.415,0.16,-0.14,-0.2616495891895856,0.2270711099211401
3273,3273.0,0.25,0.3725,0.16,-0.19,-0.2616495891895856,0.2270711099211401
3274,3274.0,0.24,0.3149999999999999,0.16,-0.2349999999999999,-0.2616495891895856,0.2270711099211401
3275,3275.0,0.22,0.25,0.16,-0.19,-0.2616495891895856,0.2270711099211401
3276,3276.0,0.21,0.2,0.16,-0.15,-0.2616495891895856,0.2270711099211401
3277,3277.0,0.21,0.18,0.16,-0.13,-0.2616495891895856,0.2270711099211401
3278,3278.0,0.2,0.1549999999999999,0.16,-0.1149999999999999,-0.2616495891895856,0.2270711099211401
3279,3279.0,0.2,0.135,0.16,-0.095,-0.2616495891895856,0.2270711099211401
3280,3280.0,0.2,0.115,0.16,-0.075,-0.2616495891895856,0.2270711099211401
3281,3281.0,0.2,0.0949999999999999,0.16,-0.0549999999999999,-0.2616495891895856,0.2270711099211401
3282,3282.0,0.19,0.075,0.16,-0.045,-0.2616495891895856,0.2270711099211401
3283,3283.0,0.2,0.065,0.16,-0.0249999999999999,-0.2616495891895856,0.2270711099211401
3284,3284.0,0.19,0.055,0.16,-0.025,-0.2616495891895856,0.2270711099211401
3285,3285.0,0.19,0.0499999999999999,0.16,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3286,3286.0,0.19,0.0399999999999999,0.16,-0.0099999999999999,-0.2616495891895856,0.2270711099211401
3287,3287.0,0.18,0.03,0.16,-0.01,-0.2616495891895856,0.2270711099211401
3288,3288.0,0.18,0.0199999999999999,0.16,0.0,-0.2616495891895856,0.2270711099211401
3289,3289.0,0.17,0.015,0.16,-0.0049999999999999,-0.2616495891895856,0.2270711099211401
3290,3290.0,0.17,0.01,0.16,0.0,-0.2616495891895856,0.2270711099211401
3291,3291.0,0.18,0.01,0.16,0.0099999999999999,-0.2616495891895856,0.2270711099211401
3292,3292.0,0.17,0.0099999999999999,0.16,2.7755575615628914e-17,-0.2616495891895856,0.2270711099211401
3293,3293.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
3294,3294.0,0.17,0.0,0.16,0.01,-0.2616495891895856,0.2270711099211401
