timestamp,value,seasonal,trend,resid,thr1,thr2
1975.0,0.14,0.01999999999999999,0.12,2.7755575615628914e-17,-0.26164958918958564,0.22707110992114019
1976.0,0.15,0.010000000000000009,0.12,0.01999999999999999,-0.26164958918958564,0.22707110992114019
1977.0,0.14,0.009999999999999995,0.12,0.010000000000000023,-0.26164958918958564,0.22707110992114019
1978.0,0.13,0.0,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1979.0,0.13,0.0,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1980.0,0.13,0.0,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1981.0,0.14,0.010000000000000009,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1982.0,0.14,0.010000000000000009,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1983.0,0.13,0.0,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1984.0,0.12,-0.010000000000000009,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1985.0,0.11,-0.020000000000000004,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1986.0,0.1,-0.020000000000000004,0.12,1.3877787807814457e-17,-0.26164958918958564,0.22707110992114019
1987.0,0.11,-0.01999999999999999,0.12,0.009999999999999995,-0.26164958918958564,0.22707110992114019
1988.0,0.1,-0.020000000000000018,0.12,2.7755575615628914e-17,-0.26164958918958564,0.22707110992114019
1989.0,0.1,-0.03,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1990.0,0.09,-0.04000000000000001,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1991.0,0.09,-0.04000000000000001,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1992.0,0.09,-0.04000000000000001,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1993.0,0.1,-0.030000000000000013,0.12,0.010000000000000023,-0.26164958918958564,0.22707110992114019
1994.0,0.09,-0.04000000000000001,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1995.0,0.08,-0.05,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1996.0,0.07,-0.06000000000000001,0.12,0.010000000000000023,-0.26164958918958564,0.22707110992114019
1997.0,0.06,-0.07,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
1998.0,0.06,-0.07999999999999999,0.12,0.01999999999999999,-0.26164958918958564,0.22707110992114019
1999.0,0.05,-0.08,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
2000.0,0.05,-0.08000000000000002,0.12,0.010000000000000023,-0.26164958918958564,0.22707110992114019
2001.0,0.04,-0.09,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
2002.0,0.04,-0.09999999999999999,0.12,0.020000000000000004,-0.26164958918958564,0.22707110992114019
2003.0,0.03,-0.1,0.12,0.010000000000000009,-0.26164958918958564,0.22707110992114019
2004.0,0.03,-0.10999999999999999,0.12,0.01999999999999999,-0.26164958918958564,0.22707110992114019
2005.0,0.03,-0.11000000000000001,0.12,0.020000000000000018,-0.26164958918958564,0.22707110992114019
2006.0,0.02,-0.11000000000000001,0.12,0.010000000000000023,-0.26164958918958564,0.22707110992114019
2007.0,0.02,-0.12,0.12,0.020000000000000004,-0.26164958918958564,0.22707110992114019
2008.0,0.02,-0.12000000000000001,0.12,0.020000000000000018,-0.26164958918958564,0.22707110992114019
